"year","zone","school","ratio"
"2006-2007","S01001806","Primary","96.79"
"2007-2008","S01001806","Primary","96.96"
"2009-2010","S01001807","Secondary","93.34"
"2004-2005","S01001807","Secondary","93.42"
"2005-2006","S01001807","Secondary","93.42"
"2008-2009","S01001807","Secondary","93.56"
"2006-2007","S01001807","Secondary","94.99"
"2010-2011","S01001807","Secondary","94.61"
"2007-2008","S01001807","Secondary","91.67"
"2003-2004","S01001807","Secondary","93.41"
"2010-2011","S01001807","Primary","97.18"
"2008-2009","S01001807","Primary","97.63"
"2009-2010","S01001807","Primary","97.03"
"2003-2004","S01001807","Primary","97.38"
"2004-2005","S01001807","Primary","97.46"
"2005-2006","S01001807","Primary","97.46"
"2006-2007","S01001807","Primary","96.23"
"2007-2008","S01001807","Primary","97.28"
"2009-2010","S01001808","Secondary","85.89"
"2004-2005","S01001808","Secondary","84.02"
"2005-2006","S01001808","Secondary","84.02"
"2008-2009","S01001808","Secondary","87.72"
"2006-2007","S01001808","Secondary","83.34"
"2010-2011","S01001808","Secondary","88.07"
"2007-2008","S01001808","Secondary","81.23"
"2003-2004","S01001808","Secondary","85.4"
"2010-2011","S01001808","Primary","91.34"
"2008-2009","S01001808","Primary","92.17"
"2009-2010","S01001808","Primary","91.36"
"2003-2004","S01001808","Primary","93.37"
"2004-2005","S01001808","Primary","92.16"
"2005-2006","S01001808","Primary","92.16"
"2006-2007","S01001808","Primary","91.25"
"2007-2008","S01001808","Primary","91.73"
"2009-2010","S01001809","Secondary","87.47"
"2004-2005","S01001809","Secondary","77.88"
"2005-2006","S01001809","Secondary","77.88"
"2008-2009","S01001809","Secondary","82.45"
"2006-2007","S01001809","Secondary","81.94"
"2010-2011","S01001809","Secondary","85.21"
"2007-2008","S01001809","Secondary","86.03"
"2003-2004","S01001809","Secondary","76.84"
"2010-2011","S01001809","Primary","90.99"
"2008-2009","S01001809","Primary","92.59"
"2009-2010","S01001809","Primary","92.38"
"2003-2004","S01001809","Primary","90.43"
"2004-2005","S01001809","Primary","89.9"
"2005-2006","S01001809","Primary","89.9"
"2006-2007","S01001809","Primary","91.26"
"2007-2008","S01001809","Primary","91.43"
"2009-2010","S01001810","Secondary","92.21"
"2004-2005","S01001810","Secondary","92.03"
"2005-2006","S01001810","Secondary","92.03"
"2008-2009","S01001810","Secondary","92.5"
"2006-2007","S01001810","Secondary","94.71"
"2010-2011","S01001810","Secondary","91.25"
"2007-2008","S01001810","Secondary","90.98"
"2003-2004","S01001810","Secondary","92.69"
"2010-2011","S01001810","Primary","93.51"
"2008-2009","S01001810","Primary","94.41"
"2009-2010","S01001810","Primary","94.21"
"2003-2004","S01001810","Primary","94.1"
"2004-2005","S01001810","Primary","95.38"
"2005-2006","S01001810","Primary","95.38"
"2006-2007","S01001810","Primary","94.44"
"2007-2008","S01001810","Primary","95.12"
"2009-2010","S01001811","Secondary","96.4"
"2004-2005","S01001811","Secondary","93.59"
"2005-2006","S01001811","Secondary","93.59"
"2008-2009","S01001811","Secondary","96.71"
"2006-2007","S01001811","Secondary","95.66"
"2010-2011","S01001811","Secondary","95.33"
"2007-2008","S01001811","Secondary","96.33"
"2003-2004","S01001811","Secondary","97.12"
"2010-2011","S01001811","Primary","98.01"
"2008-2009","S01001811","Primary","98.28"
"2009-2010","S01001811","Primary","97.84"
"2003-2004","S01001811","Primary","97.49"
"2004-2005","S01001811","Primary","97.79"
"2005-2006","S01001811","Primary","97.79"
"2006-2007","S01001811","Primary","97.43"
"2007-2008","S01001811","Primary","97.99"
"2009-2010","S01001812","Secondary","95.88"
"2004-2005","S01001812","Secondary","92.14"
"2005-2006","S01001812","Secondary","92.14"
"2008-2009","S01001812","Secondary","95.48"
"2006-2007","S01001812","Secondary","95.47"
"2010-2011","S01001812","Secondary","95.08"
"2007-2008","S01001812","Secondary","95.16"
"2003-2004","S01001812","Secondary","96.95"
"2010-2011","S01001812","Primary","97.27"
"2008-2009","S01001812","Primary","97.5"
"2009-2010","S01001812","Primary","97.7"
"2003-2004","S01001812","Primary","97.64"
"2004-2005","S01001812","Primary","97.62"
"2005-2006","S01001812","Primary","97.62"
"2006-2007","S01001812","Primary","96.68"
"2007-2008","S01001812","Primary","96.83"
"2009-2010","S01001813","Secondary","95.09"
"2004-2005","S01001813","Secondary","95.46"
"2005-2006","S01001813","Secondary","95.46"
"2008-2009","S01001813","Secondary","95.62"
"2006-2007","S01001813","Secondary","96.67"
"2010-2011","S01001813","Secondary","95.18"
"2007-2008","S01001813","Secondary","96.23"
"2003-2004","S01001813","Secondary","97.39"
"2010-2011","S01001813","Primary","98.21"
"2008-2009","S01001813","Primary","97.94"
"2009-2010","S01001813","Primary","97.67"
"2003-2004","S01001813","Primary","98.35"
"2004-2005","S01001813","Primary","97.45"
"2005-2006","S01001813","Primary","97.45"
"2006-2007","S01001813","Primary","97.89"
"2007-2008","S01001813","Primary","98.21"
"2009-2010","S01001814","Secondary","92.41"
"2004-2005","S01001814","Secondary","94.7"
"2005-2006","S01001814","Secondary","94.7"
"2008-2009","S01001814","Secondary","94.61"
"2006-2007","S01001814","Secondary","94.5"
"2010-2011","S01001814","Secondary","89.54"
"2007-2008","S01001814","Secondary","93.73"
"2003-2004","S01001814","Secondary","95.35"
"2010-2011","S01001814","Primary","96.18"
"2008-2009","S01001814","Primary","95.86"
"2009-2010","S01001814","Primary","95.74"
"2003-2004","S01001814","Primary","96.94"
"2004-2005","S01001814","Primary","96.65"
"2005-2006","S01001814","Primary","96.65"
"2006-2007","S01001814","Primary","96.21"
"2007-2008","S01001814","Primary","96.11"
"2009-2010","S01001815","Secondary","95.93"
"2004-2005","S01001815","Secondary","96.13"
"2005-2006","S01001815","Secondary","96.13"
"2008-2009","S01001815","Secondary","95.96"
"2006-2007","S01001815","Secondary","94.25"
"2010-2011","S01001815","Secondary","93.81"
"2007-2008","S01001815","Secondary","95.27"
"2003-2004","S01001815","Secondary","95.3"
"2010-2011","S01001815","Primary","96.88"
"2008-2009","S01001815","Primary","97.29"
"2009-2010","S01001815","Primary","97.6"
"2003-2004","S01001815","Primary","97.27"
"2004-2005","S01001815","Primary","97.42"
"2005-2006","S01001815","Primary","97.42"
"2006-2007","S01001815","Primary","96.87"
"2007-2008","S01001815","Primary","97.68"
"2009-2010","S01001816","Secondary","95.96"
"2004-2005","S01001816","Secondary","96.13"
"2005-2006","S01001816","Secondary","96.13"
"2008-2009","S01001816","Secondary","97.05"
"2006-2007","S01001816","Secondary","95.77"
"2010-2011","S01001816","Secondary","95.17"
"2007-2008","S01001816","Secondary","95.46"
"2003-2004","S01001816","Secondary","96.22"
"2010-2011","S01001816","Primary","97.89"
"2008-2009","S01001816","Primary","97.85"
"2009-2010","S01001816","Primary","97.61"
"2003-2004","S01001816","Primary","97.46"
"2004-2005","S01001816","Primary","97.43"
"2005-2006","S01001816","Primary","97.43"
"2006-2007","S01001816","Primary","97.72"
"2007-2008","S01001816","Primary",98
"2009-2010","S01001817","Secondary","88.67"
"2004-2005","S01001817","Secondary","88.24"
"2005-2006","S01001817","Secondary","88.24"
"2008-2009","S01001817","Secondary","88.44"
"2006-2007","S01001817","Secondary","82.63"
"2010-2011","S01001817","Secondary","88.75"
"2007-2008","S01001817","Secondary","85.33"
"2003-2004","S01001817","Secondary","87.07"
"2010-2011","S01001817","Primary","90.03"
"2008-2009","S01001817","Primary","91.56"
"2009-2010","S01001817","Primary","89.9"
"2003-2004","S01001817","Primary","90.9"
"2004-2005","S01001817","Primary","90.66"
"2005-2006","S01001817","Primary","90.66"
"2006-2007","S01001817","Primary","92.61"
"2007-2008","S01001817","Primary","92.53"
"2009-2010","S01001818","Secondary","95.76"
"2004-2005","S01001818","Secondary","94.28"
"2005-2006","S01001818","Secondary","94.28"
"2008-2009","S01001818","Secondary","96.64"
"2006-2007","S01001818","Secondary","94.19"
"2010-2011","S01001818","Secondary","95.62"
"2007-2008","S01001818","Secondary","94.4"
"2003-2004","S01001818","Secondary","95.85"
"2010-2011","S01001818","Primary","95.95"
"2008-2009","S01001818","Primary","98.22"
"2009-2010","S01001818","Primary","93.75"
"2003-2004","S01001818","Primary","96.99"
"2004-2005","S01001818","Primary",96
"2005-2006","S01001818","Primary",96
"2006-2007","S01001818","Primary","96.65"
"2007-2008","S01001818","Primary","97.43"
"2009-2010","S01001819","Secondary","95.2"
"2004-2005","S01001819","Secondary","95.86"
"2005-2006","S01001819","Secondary","95.86"
"2008-2009","S01001819","Secondary","95.5"
"2006-2007","S01001819","Secondary","96.2"
"2010-2011","S01001819","Secondary","94.33"
"2007-2008","S01001819","Secondary","95.64"
"2003-2004","S01001819","Secondary","96.2"
"2010-2011","S01001819","Primary","97.47"
"2008-2009","S01001819","Primary","97.08"
"2009-2010","S01001819","Primary","96.76"
"2003-2004","S01001819","Primary","97.59"
"2004-2005","S01001819","Primary","97.57"
"2005-2006","S01001819","Primary","97.57"
"2006-2007","S01001819","Primary","97.83"
"2007-2008","S01001819","Primary","97.74"
"2009-2010","S01001820","Secondary","89.16"
"2004-2005","S01001820","Secondary","83.8"
"2005-2006","S01001820","Secondary","83.8"
"2008-2009","S01001820","Secondary","83.36"
"2006-2007","S01001820","Secondary","86.07"
"2010-2011","S01001820","Secondary","89.66"
"2007-2008","S01001820","Secondary","87.09"
"2003-2004","S01001820","Secondary","85.35"
"2010-2011","S01001820","Primary","90.94"
"2008-2009","S01001820","Primary","93.01"
"2009-2010","S01001820","Primary","91.86"
"2003-2004","S01001820","Primary","93.44"
"2004-2005","S01001820","Primary","93.19"
"2005-2006","S01001820","Primary","93.19"
"2006-2007","S01001820","Primary","92.89"
"2007-2008","S01001820","Primary","92.83"
"2009-2010","S01001821","Secondary","83.33"
"2004-2005","S01001821","Secondary","90.16"
"2005-2006","S01001821","Secondary","90.16"
"2008-2009","S01001821","Secondary","87.95"
"2006-2007","S01001821","Secondary","92.77"
"2010-2011","S01001821","Secondary","82.27"
"2007-2008","S01001821","Secondary","90.27"
"2003-2004","S01001821","Secondary","93.6"
"2010-2011","S01001821","Primary","94.43"
"2008-2009","S01001821","Primary","94.78"
"2009-2010","S01001821","Primary","93.6"
"2003-2004","S01001821","Primary","96.08"
"2004-2005","S01001821","Primary","95.48"
"2005-2006","S01001821","Primary","95.48"
"2006-2007","S01001821","Primary","95.44"
"2007-2008","S01001821","Primary","94.79"
"2009-2010","S01001822","Secondary","92.55"
"2004-2005","S01001822","Secondary","93.22"
"2005-2006","S01001822","Secondary","93.22"
"2008-2009","S01001822","Secondary","93.93"
"2006-2007","S01001822","Secondary","89.75"
"2010-2011","S01001822","Secondary","91.6"
"2007-2008","S01001822","Secondary","91.48"
"2003-2004","S01001822","Secondary","93.61"
"2010-2011","S01001822","Primary","95.01"
"2008-2009","S01001822","Primary","94.54"
"2009-2010","S01001822","Primary","95.07"
"2003-2004","S01001822","Primary","93.21"
"2004-2005","S01001822","Primary","92.68"
"2005-2006","S01001822","Primary","92.68"
"2006-2007","S01001822","Primary","95.88"
"2007-2008","S01001822","Primary","94.8"
"2009-2010","S01001823","Secondary","86.17"
"2004-2005","S01001823","Secondary","87.25"
"2005-2006","S01001823","Secondary","87.25"
"2008-2009","S01001823","Secondary","87.95"
"2006-2007","S01001823","Secondary","87.2"
"2010-2011","S01001823","Secondary","90.09"
"2007-2008","S01001823","Secondary","85.33"
"2003-2004","S01001823","Secondary","84.78"
"2010-2011","S01001823","Primary","89.62"
"2008-2009","S01001823","Primary","89.47"
"2009-2010","S01001823","Primary","91.36"
"2003-2004","S01001823","Primary","93.17"
"2004-2005","S01001823","Primary","89.4"
"2005-2006","S01001823","Primary","89.4"
"2006-2007","S01001823","Primary","90.17"
"2007-2008","S01001823","Primary","88.82"
"2009-2010","S01001824","Secondary","91.72"
"2004-2005","S01001824","Secondary","91.53"
"2005-2006","S01001824","Secondary","91.53"
"2008-2009","S01001824","Secondary","92.94"
"2006-2007","S01001824","Secondary","91.74"
"2010-2011","S01001824","Secondary","93.19"
"2007-2008","S01001824","Secondary","92.86"
"2003-2004","S01001824","Secondary","92.61"
"2010-2011","S01001824","Primary","96.5"
"2008-2009","S01001824","Primary","95.82"
"2009-2010","S01001824","Primary","95.86"
"2003-2004","S01001824","Primary","95.16"
"2004-2005","S01001824","Primary","94.84"
"2005-2006","S01001824","Primary","94.84"
"2006-2007","S01001824","Primary","95.21"
"2007-2008","S01001824","Primary","93.86"
"2009-2010","S01001825","Secondary","96.17"
"2004-2005","S01001825","Secondary","91.23"
"2005-2006","S01001825","Secondary","91.23"
"2008-2009","S01001825","Secondary","96.82"
"2006-2007","S01001825","Secondary","95.65"
"2010-2011","S01001825","Secondary","95.42"
"2007-2008","S01001825","Secondary","96.01"
"2003-2004","S01001825","Secondary","93.2"
"2010-2011","S01001825","Primary","91.98"
"2008-2009","S01001825","Primary","94.28"
"2009-2010","S01001825","Primary","94.65"
"2003-2004","S01001825","Primary","95.65"
"2004-2005","S01001825","Primary","96.22"
"2005-2006","S01001825","Primary","96.22"
"2006-2007","S01001825","Primary","96.2"
"2007-2008","S01001825","Primary","94.76"
"2009-2010","S01001826","Secondary","91.63"
"2004-2005","S01001826","Secondary","86.06"
"2005-2006","S01001826","Secondary","86.06"
"2008-2009","S01001826","Secondary","85.92"
"2006-2007","S01001826","Secondary","84.07"
"2010-2011","S01001826","Secondary","86.93"
"2007-2008","S01001826","Secondary","80.87"
"2003-2004","S01001826","Secondary","81.81"
"2010-2011","S01001826","Primary","94.78"
"2008-2009","S01001826","Primary","94.69"
"2009-2010","S01001826","Primary","94.28"
"2003-2004","S01001826","Primary","91.61"
"2004-2005","S01001826","Primary","92.31"
"2005-2006","S01001826","Primary","92.31"
"2006-2007","S01001826","Primary","92.77"
"2007-2008","S01001826","Primary","94.91"
"2009-2010","S01001827","Secondary","87.1"
"2004-2005","S01001827","Secondary","83.28"
"2005-2006","S01001827","Secondary","83.28"
"2008-2009","S01001827","Secondary","86.21"
"2006-2007","S01001827","Secondary","84.11"
"2010-2011","S01001827","Secondary","86.33"
"2007-2008","S01001827","Secondary","87.25"
"2003-2004","S01001827","Secondary","87.32"
"2010-2011","S01001827","Primary","88.16"
"2008-2009","S01001827","Primary","86.76"
"2009-2010","S01001827","Primary","89.86"
"2003-2004","S01001827","Primary","91.9"
"2004-2005","S01001827","Primary","91.73"
"2005-2006","S01001827","Primary","91.73"
"2006-2007","S01001827","Primary","88.33"
"2007-2008","S01001827","Primary","87.63"
"2009-2010","S01001828","Secondary","92.3"
"2004-2005","S01001828","Secondary","95.53"
"2005-2006","S01001828","Secondary","95.53"
"2008-2009","S01001828","Secondary","92.8"
"2006-2007","S01001828","Secondary","93.98"
"2010-2011","S01001828","Secondary","94.51"
"2007-2008","S01001828","Secondary","94.02"
"2003-2004","S01001828","Secondary","94.58"
"2010-2011","S01001828","Primary","96.94"
"2008-2009","S01001828","Primary","97.52"
"2009-2010","S01001828","Primary","97.55"
"2003-2004","S01001828","Primary","97.98"
"2004-2005","S01001828","Primary","97.73"
"2005-2006","S01001828","Primary","97.73"
"2006-2007","S01001828","Primary","97.28"
"2007-2008","S01001828","Primary","97.16"
"2009-2010","S01001829","Secondary","91.84"
"2004-2005","S01001829","Secondary","95.81"
"2005-2006","S01001829","Secondary","95.81"
"2008-2009","S01001829","Secondary","93.11"
"2006-2007","S01001829","Secondary","94.37"
"2010-2011","S01001829","Secondary","93.99"
"2007-2008","S01001829","Secondary","94.22"
"2003-2004","S01001829","Secondary","95.68"
"2010-2011","S01001829","Primary","97.07"
"2008-2009","S01001829","Primary","96.4"
"2009-2010","S01001829","Primary","96.95"
"2003-2004","S01001829","Primary","95.94"
"2004-2005","S01001829","Primary","96.71"
"2005-2006","S01001829","Primary","96.71"
"2006-2007","S01001829","Primary","96.35"
"2007-2008","S01001829","Primary","96.34"
"2009-2010","S01001830","Secondary","95.13"
"2004-2005","S01001830","Secondary","94.61"
"2005-2006","S01001830","Secondary","94.61"
"2008-2009","S01001830","Secondary","93.28"
"2006-2007","S01001830","Secondary","93.57"
"2010-2011","S01001830","Secondary","94.72"
"2007-2008","S01001830","Secondary","93.97"
"2003-2004","S01001830","Secondary","94.83"
"2010-2011","S01001830","Primary","97.34"
