"year","zone","school","ratio"
"2008-2009","S01002027","Primary","93.37"
"2009-2010","S01002027","Primary","94.9"
"2003-2004","S01002027","Primary","95.57"
"2004-2005","S01002027","Primary","95.83"
"2005-2006","S01002027","Primary","95.83"
"2006-2007","S01002027","Primary","93.16"
"2007-2008","S01002027","Primary","94.78"
"2009-2010","S01002028","Secondary","87.2"
"2004-2005","S01002028","Secondary","92.57"
"2005-2006","S01002028","Secondary","92.57"
"2008-2009","S01002028","Secondary","86.52"
"2006-2007","S01002028","Secondary","82.73"
"2010-2011","S01002028","Secondary","87.17"
"2007-2008","S01002028","Secondary","83.24"
"2003-2004","S01002028","Secondary","87.42"
"2010-2011","S01002028","Primary","96.9"
"2008-2009","S01002028","Primary","96.06"
"2009-2010","S01002028","Primary","96.99"
"2003-2004","S01002028","Primary","97.55"
"2004-2005","S01002028","Primary","96.98"
"2005-2006","S01002028","Primary","96.98"
"2006-2007","S01002028","Primary","98.01"
"2007-2008","S01002028","Primary","96.66"
"2009-2010","S01002029","Secondary","96.43"
"2004-2005","S01002029","Secondary","94.95"
"2005-2006","S01002029","Secondary","94.95"
"2008-2009","S01002029","Secondary","95.27"
"2006-2007","S01002029","Secondary","94.96"
"2010-2011","S01002029","Secondary",92
"2007-2008","S01002029","Secondary","90.81"
"2003-2004","S01002029","Secondary","92.96"
"2010-2011","S01002029","Primary","94.68"
"2008-2009","S01002029","Primary","95.77"
"2009-2010","S01002029","Primary","95.74"
"2003-2004","S01002029","Primary","94.93"
"2004-2005","S01002029","Primary","95.3"
"2005-2006","S01002029","Primary","95.3"
"2006-2007","S01002029","Primary","94.66"
"2007-2008","S01002029","Primary","93.68"
"2009-2010","S01002030","Secondary","91.4"
"2004-2005","S01002030","Secondary","80.67"
"2005-2006","S01002030","Secondary","80.67"
"2008-2009","S01002030","Secondary","90.97"
"2006-2007","S01002030","Secondary","89.14"
"2010-2011","S01002030","Secondary","93.23"
"2007-2008","S01002030","Secondary","87.14"
"2003-2004","S01002030","Secondary","92.55"
"2010-2011","S01002030","Primary","95.79"
"2008-2009","S01002030","Primary","92.04"
"2009-2010","S01002030","Primary","93.4"
"2003-2004","S01002030","Primary","95.92"
"2004-2005","S01002030","Primary","94.44"
"2005-2006","S01002030","Primary","94.44"
"2006-2007","S01002030","Primary","96.25"
"2007-2008","S01002030","Primary","94.82"
"2009-2010","S01002031","Secondary","85.34"
"2004-2005","S01002031","Secondary","90.07"
"2005-2006","S01002031","Secondary","90.07"
"2008-2009","S01002031","Secondary","83.91"
"2006-2007","S01002031","Secondary","88.4"
"2010-2011","S01002031","Secondary","77.11"
"2007-2008","S01002031","Secondary","82.03"
"2003-2004","S01002031","Secondary","88.53"
"2010-2011","S01002031","Primary","90.09"
"2008-2009","S01002031","Primary","94.41"
"2009-2010","S01002031","Primary","90.08"
"2003-2004","S01002031","Primary","96.35"
"2004-2005","S01002031","Primary","95.32"
"2005-2006","S01002031","Primary","95.32"
"2006-2007","S01002031","Primary","90.33"
"2007-2008","S01002031","Primary","92.77"
"2009-2010","S01002032","Secondary","96.14"
"2004-2005","S01002032","Secondary","95.81"
"2005-2006","S01002032","Secondary","95.81"
"2008-2009","S01002032","Secondary","96.47"
"2006-2007","S01002032","Secondary","94.78"
"2010-2011","S01002032","Secondary","95.29"
"2007-2008","S01002032","Secondary","96.14"
"2003-2004","S01002032","Secondary","90.54"
"2010-2011","S01002032","Primary","95.86"
"2008-2009","S01002032","Primary","95.79"
"2009-2010","S01002032","Primary","96.9"
"2003-2004","S01002032","Primary","98.82"
"2004-2005","S01002032","Primary","96.56"
"2005-2006","S01002032","Primary","96.56"
"2006-2007","S01002032","Primary","91.92"
"2007-2008","S01002032","Primary","97.46"
"2009-2010","S01002033","Secondary","84.33"
"2004-2005","S01002033","Secondary","82.57"
"2005-2006","S01002033","Secondary","82.57"
"2008-2009","S01002033","Secondary","82.2"
"2006-2007","S01002033","Secondary","87.43"
"2010-2011","S01002033","Secondary","84.91"
"2007-2008","S01002033","Secondary","86.58"
"2003-2004","S01002033","Secondary","82.69"
"2010-2011","S01002033","Primary","93.2"
"2008-2009","S01002033","Primary","91.11"
"2009-2010","S01002033","Primary","94.16"
"2003-2004","S01002033","Primary","95.92"
"2004-2005","S01002033","Primary","94.87"
"2005-2006","S01002033","Primary","94.87"
"2006-2007","S01002033","Primary","93.43"
"2007-2008","S01002033","Primary","93.57"
"2009-2010","S01002034","Secondary","87.84"
"2004-2005","S01002034","Secondary","85.89"
"2005-2006","S01002034","Secondary","85.89"
"2008-2009","S01002034","Secondary","86.61"
"2006-2007","S01002034","Secondary","90.95"
"2010-2011","S01002034","Secondary","88.2"
"2007-2008","S01002034","Secondary","80.9"
"2003-2004","S01002034","Secondary","90.69"
"2010-2011","S01002034","Primary","95.44"
"2008-2009","S01002034","Primary","96.55"
"2009-2010","S01002034","Primary","95.96"
"2003-2004","S01002034","Primary","94.36"
"2004-2005","S01002034","Primary","94.15"
"2005-2006","S01002034","Primary","94.15"
"2006-2007","S01002034","Primary","96.13"
"2007-2008","S01002034","Primary","95.32"
"2009-2010","S01002035","Secondary","93.2"
"2004-2005","S01002035","Secondary","91.01"
"2005-2006","S01002035","Secondary","91.01"
"2008-2009","S01002035","Secondary","93.34"
"2006-2007","S01002035","Secondary","93.45"
"2010-2011","S01002035","Secondary","92.09"
"2007-2008","S01002035","Secondary","93.57"
"2003-2004","S01002035","Secondary","94.31"
"2010-2011","S01002035","Primary","95.91"
"2008-2009","S01002035","Primary","96.42"
"2009-2010","S01002035","Primary","95.52"
"2003-2004","S01002035","Primary","96.96"
"2004-2005","S01002035","Primary","97.41"
"2005-2006","S01002035","Primary","97.41"
"2006-2007","S01002035","Primary","96.72"
"2007-2008","S01002035","Primary","95.75"
"2009-2010","S01002036","Secondary","93.13"
"2004-2005","S01002036","Secondary","92.04"
"2005-2006","S01002036","Secondary","92.04"
"2008-2009","S01002036","Secondary","83.82"
"2006-2007","S01002036","Secondary","90.38"
"2010-2011","S01002036","Secondary","91.11"
"2007-2008","S01002036","Secondary","82.58"
"2003-2004","S01002036","Secondary","77.19"
"2010-2011","S01002036","Primary","92.66"
"2008-2009","S01002036","Primary","86.56"
"2009-2010","S01002036","Primary","92.36"
"2003-2004","S01002036","Primary","96.85"
"2004-2005","S01002036","Primary","95.29"
"2005-2006","S01002036","Primary","95.29"
"2006-2007","S01002036","Primary","87.84"
"2007-2008","S01002036","Primary","92.3"
"2009-2010","S01002037","Secondary","90.94"
"2004-2005","S01002037","Secondary","84.54"
"2005-2006","S01002037","Secondary","84.54"
"2008-2009","S01002037","Secondary","92.64"
"2006-2007","S01002037","Secondary","93.3"
"2010-2011","S01002037","Secondary","91.35"
"2007-2008","S01002037","Secondary","92.18"
"2003-2004","S01002037","Secondary","92.21"
"2010-2011","S01002037","Primary","98.08"
"2008-2009","S01002037","Primary","95.77"
"2009-2010","S01002037","Primary","96.25"
"2003-2004","S01002037","Primary","94.81"
"2004-2005","S01002037","Primary","96.67"
"2005-2006","S01002037","Primary","96.67"
"2006-2007","S01002037","Primary","97.79"
"2007-2008","S01002037","Primary","96.77"
"2009-2010","S01002038","Secondary","94.46"
"2004-2005","S01002038","Secondary","94.99"
"2005-2006","S01002038","Secondary","94.99"
"2008-2009","S01002038","Secondary","94.12"
"2006-2007","S01002038","Secondary","97.65"
"2010-2011","S01002038","Secondary","94.06"
"2007-2008","S01002038","Secondary","92.22"
"2003-2004","S01002038","Secondary","95.47"
"2010-2011","S01002038","Primary","92.81"
"2008-2009","S01002038","Primary","95.28"
"2009-2010","S01002038","Primary","94.93"
"2003-2004","S01002038","Primary","96.39"
"2004-2005","S01002038","Primary","94.26"
"2005-2006","S01002038","Primary","94.26"
"2006-2007","S01002038","Primary","95.46"
"2007-2008","S01002038","Primary","96.72"
"2009-2010","S01002039","Secondary","91.76"
"2004-2005","S01002039","Secondary","90.35"
"2005-2006","S01002039","Secondary","90.35"
"2008-2009","S01002039","Secondary","89.3"
"2006-2007","S01002039","Secondary","88.72"
"2010-2011","S01002039","Secondary","91.41"
"2007-2008","S01002039","Secondary",88
"2003-2004","S01002039","Secondary","89.38"
"2010-2011","S01002039","Primary","94.93"
"2008-2009","S01002039","Primary","93.95"
"2009-2010","S01002039","Primary","94.14"
"2003-2004","S01002039","Primary","96.05"
"2004-2005","S01002039","Primary","95.71"
"2005-2006","S01002039","Primary","95.71"
"2006-2007","S01002039","Primary","95.47"
"2007-2008","S01002039","Primary","96.05"
"2009-2010","S01002040","Secondary","90.11"
"2004-2005","S01002040","Secondary","86.57"
"2005-2006","S01002040","Secondary","86.57"
"2008-2009","S01002040","Secondary","91.3"
"2006-2007","S01002040","Secondary","91.79"
"2010-2011","S01002040","Secondary","87.41"
"2007-2008","S01002040","Secondary","97.07"
"2003-2004","S01002040","Secondary","86.24"
"2010-2011","S01002040","Primary","95.29"
"2008-2009","S01002040","Primary","93.38"
"2009-2010","S01002040","Primary","93.91"
"2003-2004","S01002040","Primary","95.13"
"2004-2005","S01002040","Primary","96.21"
"2005-2006","S01002040","Primary","96.21"
"2006-2007","S01002040","Primary","96.23"
"2007-2008","S01002040","Primary","90.78"
"2009-2010","S01002041","Secondary","93.24"
"2004-2005","S01002041","Secondary","92.55"
"2005-2006","S01002041","Secondary","92.55"
"2008-2009","S01002041","Secondary","92.59"
"2006-2007","S01002041","Secondary","91.69"
"2010-2011","S01002041","Secondary","91.33"
"2007-2008","S01002041","Secondary","90.86"
"2003-2004","S01002041","Secondary","90.59"
"2010-2011","S01002041","Primary","95.55"
"2008-2009","S01002041","Primary","96.78"
"2009-2010","S01002041","Primary","96.59"
"2003-2004","S01002041","Primary","96.69"
"2004-2005","S01002041","Primary","95.86"
"2005-2006","S01002041","Primary","95.86"
"2006-2007","S01002041","Primary","97.05"
"2007-2008","S01002041","Primary","95.21"
"2009-2010","S01002042","Secondary","91.6"
"2004-2005","S01002042","Secondary","88.96"
"2005-2006","S01002042","Secondary","88.96"
"2008-2009","S01002042","Secondary","90.67"
"2006-2007","S01002042","Secondary","92.4"
"2010-2011","S01002042","Secondary","88.36"
"2007-2008","S01002042","Secondary","93.14"
"2003-2004","S01002042","Secondary","87.91"
"2010-2011","S01002042","Primary","96.88"
"2008-2009","S01002042","Primary","96.29"
"2009-2010","S01002042","Primary","96.22"
"2003-2004","S01002042","Primary","97.03"
"2004-2005","S01002042","Primary","96.33"
"2005-2006","S01002042","Primary","96.33"
"2006-2007","S01002042","Primary","97.51"
"2007-2008","S01002042","Primary","97.59"
"2009-2010","S01002043","Secondary","91.37"
"2004-2005","S01002043","Secondary","92.1"
"2005-2006","S01002043","Secondary","92.1"
"2008-2009","S01002043","Secondary","93.85"
"2006-2007","S01002043","Secondary","94.55"
"2010-2011","S01002043","Secondary","91.94"
"2007-2008","S01002043","Secondary","92.19"
"2003-2004","S01002043","Secondary","93.69"
"2010-2011","S01002043","Primary","96.34"
"2008-2009","S01002043","Primary","96.23"
"2009-2010","S01002043","Primary","95.3"
"2003-2004","S01002043","Primary","97.93"
"2004-2005","S01002043","Primary","96.28"
"2005-2006","S01002043","Primary","96.28"
"2006-2007","S01002043","Primary","96.46"
"2007-2008","S01002043","Primary","97.48"
"2009-2010","S01002044","Secondary","89.19"
"2004-2005","S01002044","Secondary","77.02"
"2005-2006","S01002044","Secondary","77.02"
"2008-2009","S01002044","Secondary","83.61"
"2006-2007","S01002044","Secondary","81.57"
"2010-2011","S01002044","Secondary","84.04"
"2007-2008","S01002044","Secondary","78.14"
"2003-2004","S01002044","Secondary","77.46"
"2010-2011","S01002044","Primary","92.56"
"2008-2009","S01002044","Primary","94.43"
"2009-2010","S01002044","Primary","92.64"
"2003-2004","S01002044","Primary","94.22"
"2004-2005","S01002044","Primary","92.4"
"2005-2006","S01002044","Primary","92.4"
"2006-2007","S01002044","Primary","94.12"
"2007-2008","S01002044","Primary","92.11"
"2009-2010","S01002045","Secondary","91.35"
"2004-2005","S01002045","Secondary","92.24"
"2005-2006","S01002045","Secondary","92.24"
"2008-2009","S01002045","Secondary","93.07"
"2006-2007","S01002045","Secondary","93.38"
"2010-2011","S01002045","Secondary","91.9"
"2007-2008","S01002045","Secondary","92.64"
"2003-2004","S01002045","Secondary","94.29"
"2010-2011","S01002045","Primary","94.64"
"2008-2009","S01002045","Primary","97.15"
"2009-2010","S01002045","Primary","96.26"
"2003-2004","S01002045","Primary","94.87"
"2004-2005","S01002045","Primary","94.82"
"2005-2006","S01002045","Primary","94.82"
"2006-2007","S01002045","Primary","97.22"
"2007-2008","S01002045","Primary","96.4"
"2009-2010","S01002046","Secondary","91.91"
"2004-2005","S01002046","Secondary","87.83"
"2005-2006","S01002046","Secondary","87.83"
"2008-2009","S01002046","Secondary","67.84"
"2006-2007","S01002046","Secondary","81.54"
"2010-2011","S01002046","Secondary","93.72"
"2007-2008","S01002046","Secondary","83.27"
"2003-2004","S01002046","Secondary","83.12"
"2010-2011","S01002046","Primary","94.11"
"2008-2009","S01002046","Primary","95.42"
"2009-2010","S01002046","Primary","92.5"
"2003-2004","S01002046","Primary","93.49"
"2004-2005","S01002046","Primary","94.67"
"2005-2006","S01002046","Primary","94.67"
"2006-2007","S01002046","Primary","92.06"
"2007-2008","S01002046","Primary","90.88"
"2009-2010","S01002047","Secondary","93.12"
"2004-2005","S01002047","Secondary","94.93"
"2005-2006","S01002047","Secondary","94.93"
"2008-2009","S01002047","Secondary","93.16"
"2006-2007","S01002047","Secondary","93.57"
"2010-2011","S01002047","Secondary","92.68"
"2007-2008","S01002047","Secondary","94.04"
"2003-2004","S01002047","Secondary","94.95"
"2010-2011","S01002047","Primary","96.72"
"2008-2009","S01002047","Primary","97.07"
"2009-2010","S01002047","Primary","96.6"
"2003-2004","S01002047","Primary","96.63"
"2004-2005","S01002047","Primary","94.87"
"2005-2006","S01002047","Primary","94.87"
"2006-2007","S01002047","Primary","96.1"
"2007-2008","S01002047","Primary","96.68"
"2009-2010","S01002048","Secondary","90.6"
"2004-2005","S01002048","Secondary","95.26"
"2005-2006","S01002048","Secondary","95.26"
"2008-2009","S01002048","Secondary","91.27"
"2006-2007","S01002048","Secondary","90.19"
"2010-2011","S01002048","Secondary","94.75"
"2007-2008","S01002048","Secondary","92.38"
"2003-2004","S01002048","Secondary","90.4"
"2010-2011","S01002048","Primary","95.14"
"2008-2009","S01002048","Primary","91.07"
"2009-2010","S01002048","Primary","94.11"
"2003-2004","S01002048","Primary","93.1"
"2004-2005","S01002048","Primary",95
"2005-2006","S01002048","Primary",95
"2006-2007","S01002048","Primary","96.92"
"2007-2008","S01002048","Primary","96.14"
"2009-2010","S01002049","Secondary","91.91"
"2004-2005","S01002049","Secondary","95.11"
"2005-2006","S01002049","Secondary","95.11"
"2008-2009","S01002049","Secondary","94.88"
"2006-2007","S01002049","Secondary","90.97"
"2010-2011","S01002049","Secondary","93.82"
"2007-2008","S01002049","Secondary","89.46"
"2003-2004","S01002049","Secondary","90.96"
"2010-2011","S01002049","Primary","95.87"
"2008-2009","S01002049","Primary","93.18"
"2009-2010","S01002049","Primary","93.31"
"2003-2004","S01002049","Primary","96.26"
"2004-2005","S01002049","Primary","97.33"
"2005-2006","S01002049","Primary","97.33"
"2006-2007","S01002049","Primary","94.52"
"2007-2008","S01002049","Primary","94.34"
"2009-2010","S01002050","Secondary","92.8"
"2004-2005","S01002050","Secondary","95.21"
"2005-2006","S01002050","Secondary","95.21"
"2008-2009","S01002050","Secondary","91.88"
"2006-2007","S01002050","Secondary","94.56"
"2010-2011","S01002050","Secondary","91.59"
"2007-2008","S01002050","Secondary","93.64"
"2003-2004","S01002050","Secondary","94.59"
"2010-2011","S01002050","Primary","94.64"
"2008-2009","S01002050","Primary","95.44"
"2009-2010","S01002050","Primary","94.85"
"2003-2004","S01002050","Primary","96.38"
"2004-2005","S01002050","Primary","94.91"
"2005-2006","S01002050","Primary","94.91"
"2006-2007","S01002050","Primary","95.5"
"2007-2008","S01002050","Primary","95.28"
"2009-2010","S01002051","Secondary","86.64"
"2004-2005","S01002051","Secondary","83.95"
"2005-2006","S01002051","Secondary","83.95"
"2008-2009","S01002051","Secondary","86.74"
"2006-2007","S01002051","Secondary","86.73"
"2010-2011","S01002051","Secondary","87.83"
"2007-2008","S01002051","Secondary","86.69"
"2003-2004","S01002051","Secondary","85.22"
"2010-2011","S01002051","Primary","92.2"
"2008-2009","S01002051","Primary","94.49"
"2009-2010","S01002051","Primary","92.99"
"2003-2004","S01002051","Primary","94.8"
"2004-2005","S01002051","Primary","94.61"
"2005-2006","S01002051","Primary","94.61"
"2006-2007","S01002051","Primary","95.17"
"2007-2008","S01002051","Primary","94.88"
"2009-2010","S01002052","Secondary","95.59"
"2004-2005","S01002052","Secondary","87.97"
"2005-2006","S01002052","Secondary","87.97"
"2008-2009","S01002052","Secondary","88.75"
"2006-2007","S01002052","Secondary","98.61"
"2010-2011","S01002052","Secondary","85.84"
"2007-2008","S01002052","Secondary","93.22"
"2003-2004","S01002052","Secondary","87.78"
"2010-2011","S01002052","Primary","96.2"
"2008-2009","S01002052","Primary","93.14"
"2009-2010","S01002052","Primary","95.05"
"2003-2004","S01002052","Primary","93.22"
"2004-2005","S01002052","Primary","97.52"
"2005-2006","S01002052","Primary","97.52"
"2006-2007","S01002052","Primary","94.91"
"2007-2008","S01002052","Primary","94.15"
"2009-2010","S01002053","Secondary","94.5"
"2004-2005","S01002053","Secondary","93.96"
"2005-2006","S01002053","Secondary","93.96"
"2008-2009","S01002053","Secondary","93.21"
"2006-2007","S01002053","Secondary","93.97"
"2010-2011","S01002053","Secondary","92.61"
"2007-2008","S01002053","Secondary","95.38"
"2003-2004","S01002053","Secondary","95.73"
"2010-2011","S01002053","Primary","95.69"
"2008-2009","S01002053","Primary","94.63"
"2009-2010","S01002053","Primary","94.3"
"2003-2004","S01002053","Primary","94.14"
"2004-2005","S01002053","Primary","94.35"
"2005-2006","S01002053","Primary","94.35"
"2006-2007","S01002053","Primary","96.94"
"2007-2008","S01002053","Primary","96.15"
"2009-2010","S01002054","Secondary","88.35"
"2004-2005","S01002054","Secondary","82.38"
"2005-2006","S01002054","Secondary","82.38"
"2008-2009","S01002054","Secondary","86.8"
"2006-2007","S01002054","Secondary","79.97"
"2010-2011","S01002054","Secondary","91.81"
"2007-2008","S01002054","Secondary","87.22"
"2003-2004","S01002054","Secondary","81.47"
"2010-2011","S01002054","Primary","95.9"
"2008-2009","S01002054","Primary","95.5"
"2009-2010","S01002054","Primary","94.89"
"2003-2004","S01002054","Primary","92.73"
"2004-2005","S01002054","Primary","94.29"
"2005-2006","S01002054","Primary","94.29"
"2006-2007","S01002054","Primary","97.8"
"2007-2008","S01002054","Primary","97.8"
"2009-2010","S01002055","Secondary","92.65"
"2004-2005","S01002055","Secondary","93.19"
"2005-2006","S01002055","Secondary","93.19"
"2008-2009","S01002055","Secondary","91.41"
"2006-2007","S01002055","Secondary","93.64"
"2010-2011","S01002055","Secondary","90.74"
"2007-2008","S01002055","Secondary","93.28"
"2003-2004","S01002055","Secondary","93.37"
"2010-2011","S01002055","Primary","94.78"
"2008-2009","S01002055","Primary","96.9"
"2009-2010","S01002055","Primary","96.24"
"2003-2004","S01002055","Primary","96.23"
"2004-2005","S01002055","Primary","95.82"
"2005-2006","S01002055","Primary","95.82"
"2006-2007","S01002055","Primary","96.47"
"2007-2008","S01002055","Primary","96.18"
"2009-2010","S01002056","Secondary","90.87"
"2004-2005","S01002056","Secondary","94.44"
"2005-2006","S01002056","Secondary","94.44"
"2008-2009","S01002056","Secondary","90.32"
"2006-2007","S01002056","Secondary","92.27"
"2010-2011","S01002056","Secondary","92.35"
"2007-2008","S01002056","Secondary","89.97"
"2003-2004","S01002056","Secondary","91.99"
"2010-2011","S01002056","Primary","97.39"
"2008-2009","S01002056","Primary","96.31"
"2009-2010","S01002056","Primary","97.05"
"2003-2004","S01002056","Primary","95.21"
"2004-2005","S01002056","Primary","95.3"
"2005-2006","S01002056","Primary","95.3"
"2006-2007","S01002056","Primary","95.14"
"2007-2008","S01002056","Primary","96.06"
"2009-2010","S01002057","Secondary","94.5"
"2004-2005","S01002057","Secondary","94.8"
"2005-2006","S01002057","Secondary","94.8"
"2008-2009","S01002057","Secondary","93.33"
"2006-2007","S01002057","Secondary","94.32"
"2010-2011","S01002057","Secondary","92.23"
"2007-2008","S01002057","Secondary","93.5"
"2003-2004","S01002057","Secondary","96.01"
"2010-2011","S01002057","Primary","97.89"
"2008-2009","S01002057","Primary","95.94"
"2009-2010","S01002057","Primary","96.59"
"2003-2004","S01002057","Primary","96.69"
"2004-2005","S01002057","Primary","96.59"
"2005-2006","S01002057","Primary","96.59"
"2006-2007","S01002057","Primary","97.07"
"2007-2008","S01002057","Primary","96.08"
"2009-2010","S01002058","Secondary","97.06"
"2004-2005","S01002058","Secondary","95.45"
"2005-2006","S01002058","Secondary","95.45"
"2008-2009","S01002058","Secondary","95.12"
"2006-2007","S01002058","Secondary","94.43"
"2010-2011","S01002058","Secondary","84.31"
"2007-2008","S01002058","Secondary","90.71"
"2003-2004","S01002058","Secondary","86.9"
"2010-2011","S01002058","Primary","90.1"
"2008-2009","S01002058","Primary","93.7"
"2009-2010","S01002058","Primary","91.76"
"2003-2004","S01002058","Primary","93.49"
"2004-2005","S01002058","Primary","96.02"
"2005-2006","S01002058","Primary","96.02"
"2006-2007","S01002058","Primary","93.94"
"2007-2008","S01002058","Primary","93.3"
"2009-2010","S01002059","Secondary","88.52"
"2004-2005","S01002059","Secondary","85.74"
"2005-2006","S01002059","Secondary","85.74"
"2008-2009","S01002059","Secondary","91.04"
"2006-2007","S01002059","Secondary","90.52"
"2010-2011","S01002059","Secondary","90.25"
"2007-2008","S01002059","Secondary","93.62"
"2003-2004","S01002059","Secondary","88.82"
"2010-2011","S01002059","Primary","90.7"
"2008-2009","S01002059","Primary","94.24"
"2009-2010","S01002059","Primary","93.91"
"2003-2004","S01002059","Primary","94.5"
"2004-2005","S01002059","Primary","96.74"
"2005-2006","S01002059","Primary","96.74"
"2006-2007","S01002059","Primary","93.75"
"2007-2008","S01002059","Primary","93.61"
"2009-2010","S01002060","Secondary","87.39"
"2004-2005","S01002060","Secondary","86.29"
"2005-2006","S01002060","Secondary","86.29"
"2008-2009","S01002060","Secondary","87.64"
"2006-2007","S01002060","Secondary","92.45"
"2010-2011","S01002060","Secondary","92.58"
"2007-2008","S01002060","Secondary","89.35"
"2003-2004","S01002060","Secondary","87.68"
"2010-2011","S01002060","Primary","91.65"
"2008-2009","S01002060","Primary","92.49"
"2009-2010","S01002060","Primary","95.83"
"2003-2004","S01002060","Primary","95.29"
"2004-2005","S01002060","Primary","92.29"
"2005-2006","S01002060","Primary","92.29"
"2006-2007","S01002060","Primary","92.76"
"2007-2008","S01002060","Primary","94.4"
"2009-2010","S01002061","Secondary","91.41"
"2004-2005","S01002061","Secondary","83.03"
"2005-2006","S01002061","Secondary","83.03"
"2008-2009","S01002061","Secondary","86.26"
"2006-2007","S01002061","Secondary","91.94"
"2010-2011","S01002061","Secondary","88.89"
"2007-2008","S01002061","Secondary","87.88"
"2003-2004","S01002061","Secondary","82.12"
"2010-2011","S01002061","Primary","93.19"
"2008-2009","S01002061","Primary","94.63"
"2009-2010","S01002061","Primary","92.9"
"2003-2004","S01002061","Primary","94.82"
"2004-2005","S01002061","Primary","93.09"
"2005-2006","S01002061","Primary","93.09"
"2006-2007","S01002061","Primary","93.58"
"2007-2008","S01002061","Primary","94.55"
"2009-2010","S01002062","Secondary","86.93"
"2004-2005","S01002062","Secondary","85.83"
"2005-2006","S01002062","Secondary","85.83"
"2008-2009","S01002062","Secondary","92.52"
"2006-2007","S01002062","Secondary","88.74"
"2010-2011","S01002062","Secondary","89.33"
"2007-2008","S01002062","Secondary","92.16"
"2003-2004","S01002062","Secondary","85.24"
"2010-2011","S01002062","Primary","93.62"
"2008-2009","S01002062","Primary","93.27"
"2009-2010","S01002062","Primary","92.81"
"2003-2004","S01002062","Primary","93.81"
"2004-2005","S01002062","Primary","94.08"
"2005-2006","S01002062","Primary","94.08"
"2006-2007","S01002062","Primary","94.68"
"2007-2008","S01002062","Primary","92.49"
"2009-2010","S01002063","Secondary","84.38"
"2004-2005","S01002063","Secondary","90.1"
"2005-2006","S01002063","Secondary","90.1"
"2008-2009","S01002063","Secondary","92.88"
"2006-2007","S01002063","Secondary","93.95"
"2010-2011","S01002063","Secondary","89.09"
"2007-2008","S01002063","Secondary","90.04"
"2003-2004","S01002063","Secondary","93.93"
"2010-2011","S01002063","Primary","93.57"
"2008-2009","S01002063","Primary","94.08"
"2009-2010","S01002063","Primary","93.59"
"2003-2004","S01002063","Primary","92.41"
"2004-2005","S01002063","Primary","94.15"
"2005-2006","S01002063","Primary","94.15"
"2006-2007","S01002063","Primary","92.57"
"2007-2008","S01002063","Primary","90.88"
"2009-2010","S01002064","Secondary","89.56"
"2004-2005","S01002064","Secondary","84.16"
"2005-2006","S01002064","Secondary","84.16"
"2008-2009","S01002064","Secondary","85.9"
"2006-2007","S01002064","Secondary","84.35"
"2010-2011","S01002064","Secondary","88.7"
"2007-2008","S01002064","Secondary","84.56"
"2003-2004","S01002064","Secondary","85.47"
"2010-2011","S01002064","Primary","94.09"
"2008-2009","S01002064","Primary","91.29"
"2009-2010","S01002064","Primary","89.35"
"2003-2004","S01002064","Primary","96.9"
"2004-2005","S01002064","Primary","98.15"
"2005-2006","S01002064","Primary","98.15"
"2006-2007","S01002064","Primary","91.85"
"2007-2008","S01002064","Primary","91.29"
"2009-2010","S01002065","Secondary","87.33"
"2004-2005","S01002065","Secondary","90.15"
"2005-2006","S01002065","Secondary","90.15"
"2008-2009","S01002065","Secondary","88.2"
"2006-2007","S01002065","Secondary","90.13"
"2010-2011","S01002065","Secondary","90.89"
"2007-2008","S01002065","Secondary","90.16"
"2003-2004","S01002065","Secondary","91.96"
"2010-2011","S01002065","Primary","94.53"
"2008-2009","S01002065","Primary","93.82"
"2009-2010","S01002065","Primary","94.02"
"2003-2004","S01002065","Primary","93.65"
"2004-2005","S01002065","Primary","92.9"
"2005-2006","S01002065","Primary","92.9"
"2006-2007","S01002065","Primary","95.31"
"2007-2008","S01002065","Primary","95.93"
"2009-2010","S01002066","Secondary","87.01"
"2004-2005","S01002066","Secondary","78.05"
"2005-2006","S01002066","Secondary","78.05"
"2008-2009","S01002066","Secondary","88.77"
"2006-2007","S01002066","Secondary","81.41"
"2010-2011","S01002066","Secondary","84.98"
"2007-2008","S01002066","Secondary","82.95"
"2003-2004","S01002066","Secondary","81.15"
"2010-2011","S01002066","Primary","93.78"
"2008-2009","S01002066","Primary","94.51"
"2009-2010","S01002066","Primary","93.41"
"2003-2004","S01002066","Primary","94.72"
"2004-2005","S01002066","Primary","92.03"
"2005-2006","S01002066","Primary","92.03"
"2006-2007","S01002066","Primary","92.7"
"2007-2008","S01002066","Primary","92.35"
"2009-2010","S01002067","Secondary","93.05"
"2004-2005","S01002067","Secondary","96.46"
"2005-2006","S01002067","Secondary","96.46"
"2008-2009","S01002067","Secondary","93.27"
"2006-2007","S01002067","Secondary","94.54"
"2010-2011","S01002067","Secondary","87.77"
"2007-2008","S01002067","Secondary","95.7"
"2003-2004","S01002067","Secondary","93.45"
"2010-2011","S01002067","Primary","94.57"
"2008-2009","S01002067","Primary","96.61"
"2009-2010","S01002067","Primary","96.83"
"2003-2004","S01002067","Primary","95.36"
"2004-2005","S01002067","Primary","96.38"
"2005-2006","S01002067","Primary","96.38"
"2006-2007","S01002067","Primary","96.72"
"2007-2008","S01002067","Primary","97.42"
"2009-2010","S01002068","Secondary","86.79"
"2004-2005","S01002068","Secondary","87.32"
"2005-2006","S01002068","Secondary","87.32"
"2008-2009","S01002068","Secondary","88.04"
